,Name,user_id,product_id,rating,times_stamps,offers
0,Dhanuk Desai,A2CX7LUOHB2NDG,0321732944,5.0,1341100800,"""Get 20% off on all orders this weekend!"""
1,Dhanuk Desai,A2CX7LUOHB2NDG,B000W3LJ6Y,5.0,1344988800,"""Enter our Instagram giveaway for a chance to win a $100 gift card."""
2,Dhanuk Desai,A2CX7LUOHB2NDG,B001EYU79A,5.0,1349222400,"""Last chance to grab items at clearance prices. Up to 70% off!"""
3,Dhanuk Desai,A2CX7LUOHB2NDG,B0089MVZDW,4.0,1367539200,"""Buy a laptop, mouse, and bag together and save 15%."""
4,Samiha Goyal,A2NWSAGRHCP8N5,0439886341,1.0,1367193600,"""Buy one, get one 50% off."""
5,Indranil Ganesh,A2WNBOD3WNDNKT,0439886341,3.0,1374451200,"""Buy one, get one 50% off."""
6,Baiju Rau,A1GI0U4ZRJA8WN,0439886341,1.0,1334707200,"""Buy one, get one 50% off."""
7,Vanya Hayre,A1QGNMC6O1VW39,0511189877,5.0,1397433600,"""Save $10 when you spend $50 or more."""
8,Vanya Hayre,A1QGNMC6O1VW39,B0081X0SN2,5.0,1391385600,"""Welcome to our store! New customers get 15% off their first order."""
9,Divij Brar,A3J3BRHTDRFJ2G,0511189877,2.0,1397433600,"""Save $10 when you spend $50 or more."""
10,Divij Brar,A3J3BRHTDRFJ2G,B00005TQ09,2.0,1029283200,"""Upgrade your phone and get a free case and screen protector."""
11,Divij Brar,A3J3BRHTDRFJ2G,B0000C47QL,3.0,1236470400,"""Refer a friend and get 20% off your next purchase when they make their first order."""
12,Divij Brar,A3J3BRHTDRFJ2G,B0001Y7UAI,4.0,1329523200,"""Buy one pair of shoes, get a second pair free."""
13,Divij Brar,A3J3BRHTDRFJ2G,B00020BJA8,4.0,1373760000,"""Exclusive offer for our loyal customers: 20% off your next visit."""
14,Divij Brar,A3J3BRHTDRFJ2G,B000BQ7GW8,5.0,1399766400,"""Birthday month exclusive: 10% off for all August birthdays."""
15,Divij Brar,A3J3BRHTDRFJ2G,B000EPR7XO,5.0,1261267200,"""Tag a friend and both of you get a 15% discount code."""
16,Divij Brar,A3J3BRHTDRFJ2G,B000M2GYF6,2.0,1198368000,"""Birthday month exclusive: 10% off for all August birthdays."""
17,Divij Brar,A3J3BRHTDRFJ2G,B001EH8FZA,5.0,1236470400,"""BOGO 50% off on all dresses."""
18,Divij Brar,A3J3BRHTDRFJ2G,B001EZRYYU,2.0,1249862400,"""Enjoy free shipping on orders over $25."""
19,Divij Brar,A3J3BRHTDRFJ2G,B001T9EYFI,2.0,1251072000,"""BOGO 50% off on all dresses."""
